"titre";"auteur";"annee_creation";"lieu_exposition";"naissance_deces";"domaine";"technique";"hauteur_cm";"longueur_cm";"annee_acquisition";"type_acquisition";"precisions_acquisitions";"numero_inventaire";"lien_navigart"
"Le Cercle des patineurs";"Luigi LOIR";1896;"";"1845, Göritz (Autriche) - 1916, Paris (France)";"Peinture";"Huile sur toile";50;80;NA;"Mode d'acquisition non renseigné";"Acquisition";"1090";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000038487"
"Apollon couronné, une déesse tient la harpe";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb, fusain et craie sur papier calque";32.3;57.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5603";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069495"
"Etudes de poses pour """"César couronné""""";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur feuille de papier";21.6;31;NA;"Mode d'acquisition non renseigné";"Acquisition";"4349";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065177"
"Etude du lieur de gerbes";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";16;19.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4668";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066214"
"Presqu'île Saint Jean à Beaulieu";"Gaston BÉTHUNE";1885;"";"1857, Paris (France) - 1897, Auteuil (Yvelines, France)";"Dessin";"Aquarelle sur papier contrecollé sur carton";33;56;1899;"Legs";"Legs de Mme Antoinette-Julie Peccot en 1899";"1259";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007480"
"Le départ pour la ville";"DESTOUCHES (Paul-Emile DETOUCHE, dit)";1834;"";"1794, Dampierre-en-Yvelines (Yvelines, France) - 1874, Paris (France)";"Peinture";"Au moment de monter dans la barque qui doit l'éloigner des lieux de sa naissance, une jeune paysanne reçoit la bénédiction de son père et les adieux de sa famille affligéeHuile sur toile";114;146;1854;"Don";"Don de M Urvoy de Saint-Bedan en 1854";"929";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004146"
"Femme voilée, debout, tournée vers la gauche";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";23;12;NA;"Mode d'acquisition non renseigné";"Acquisition";"5268";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068552"
"Homme assis (d'après Michel-Ange)";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";31.1;19.9;NA;"Mode d'acquisition non renseigné";"Acquisition";"3907";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064736"
"Jeune femme appuyée à une table, nue";"Maurice CHABAS";1902;"";"1862, Nantes (Loire-Atlantique, France) - 1947, Versailles (Yvelines, France)";"Dessin";"Ensemble de 18 études pour les panneaux décoratifs de la gare de Lyon-PerracheSanguine et réhaus de craie blanche sur papier beige, contrecollé sur papier et encadré d'un fil doré";33.5;22.4;1902;"Achat";"Achat à l'artiste en 1902";"1315";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007899"
"Banque de France : cent francs";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon, pierre noire, plume, encre et gouache sur papier calque";53.5;85.9;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.53.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003909"
"Visage de femme tourné à droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier Vergé";13.5;20.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"5133";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068271"
"Petit portrait de l'artiste";"Jean-Emile LABOUREUR";1928;"";"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)";"Estampe";"Estampe, EpreuveGRavure au burin, tirage sur papier";25;16.3;1973;"Achat";"Achat à la Galerie Arpège en 1973";"973.6.2.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000079231"
"Jeune homme nu, la main droite sur la poitrine";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Sanguine sur papier";51.5;32.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"5619";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069507"
"Villa Aldobrandini";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb  et estompe - papier crème";22.4;29.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"4478";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007562"
"Sainte Famille";"Alexandre CHANTRON";NA;"";"1842, Nantes (Loire-Atlantique, France) - 1918, Nantes (Loire-Atlantique, France)";"Dessin";"Fusain sur papier";63.7;42;1918;"Don";"Don en 1918";"3360";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005494"
"Diane à demi assise, appuyée sur le bras droit, la gauche est à l'épaule";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier Vergé";10.5;6.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5423";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068866"
"La Leçon de flûte";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Graphite et crayon noir";21;15;NA;"Mode d'acquisition non renseigné";"Acquisition";"1361";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007005"
"Hilaire Belloc";"Adolphe ITASSE";1878;"";"1830, Lourmarin (Vaucluse, France) - 1893, Paris (France)";"Sculpture";"BusteMarbre";81;61;NA;"Dépôt Fonds national d'art contemporain";"Achat à l'artisteFonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes en 1937";"2353";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005120"
"Virgile écrivant les Géorgiques";"Emmanuel PHELIPPES-BEAULIEUX";1855;"";"1819, Nantes (Loire-Atlantique, France) - 1874, Nantes (Loire-Atlantique, France)";"Estampe";"Rond, diamètre 21,2cmEau-forte sur papier";NA;NA;1948;"Don";"Don de M Michel Noury en 1948";"3429";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005770"
"Philibert de Lorme s'inclinant devant le Roi. A droite, les jambes du Roi qui est assis sont dessinées";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume et crayon blanc sur papier calque";29.3;21.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5303";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068770"
"Une vache qui fiente";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";7;7;NA;"Mode d'acquisition non renseigné";"Acquisition";"4052";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064975"
"Vue de l'église Sainte-Marie de la Santé à Venise";"Jules Romain JOYANT";1854;"";"1803, Paris (France) - 1854, Paris (France)";"Peinture";"A gauche, le quai devant les bâtiments de la Dogana et l'église de la Salute (Sainte-Marie de la Santé). A droite, les palais sur l'autre rive du canal.Huile sur toile";112.1;169.4;NA;"Dépôt Musée du Louvre";"Achat en salon à l'artiste en 1835Musée du LouvreDépôt au Musée des Beaux-Arts de Nantes en 1872";"1041 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004209"
"Sujet de profil, genou droit en terre, bras croisés sur la poitrine";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb rehaussé de craie sur papier";31;20.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4118";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065041"
"Le prisonnier";"Jean-Léon GÉRÔME";1861;"Musée d'Arts - Palais - Salle  13";"1824, Vesoul (Haute-Saône, France) - 1904, Paris (France)";"Peinture";"L'oeuvre est placée sous caisson climatiqueHuile sur bois";45;78;1861;"Achat";"Achat à l'artiste en 1861";"990";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004178"
"Naufrage du trois-mâts """"L'Emily"""" en 1823";"Eugène ISABEY (Louis-Gabriel-Eugène ISABEY, dit)";1865;"Musée d'Arts - Palais - Salle  15";"1803, Paris (France) - 1886, Paris (France)";"Peinture";"Huile sur toile de lin";200;345;NA;"Dépôt Etat";"Achat en salon à l'artiste en 1865EtatDépôt au Musée des Beaux-Arts de Nantes en 1865";"1029 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004199"
"";"Vassily KANDINSKY";1932;"";"1866, Moscou (Russie, Empire Russe) - 1944, Neuilly-sur-Seine (Seine, France)";"Estampe";"D'après une oeuvre de Kandinsky Album """"Abstraction-Création, Art non-figuratif, 1932-1936"""".Sérigraphie";66;84;1979;"Don";"Don de Jean et Suzanne Gorin en 1979";"979.14.11.E";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002166"
"Homme âgé, assis tourné vers la gauche, la tête vers la droite";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb et traces de craie sur papier calque";27;14.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"4925";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067391"
"Esquisse pour le plafond du Grand café : amours et les attributs de Vénus";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur calque";22;21.3;1897;"Legs";"Legs de L Delaunay en 1897";"4951";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007197"
"Haut personnage en costume du temps, l'ordre du Saint Esprit au cou";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb - papier calque très fin";31;20;NA;"Mode d'acquisition non renseigné";"Acquisition";"5299";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068766"
"La leçon de flûte";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";18;12;NA;"Mode d'acquisition non renseigné";"Acquisition";"1363";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000063995"
"Etude de la mise en place des trois pélerins, un chien allongé sur le devant";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon et fusain rehaussé craie sur papier calque - Mis au quadrillage";19;24.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"4300";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007131"
"Paysage de Batz";"Charles TOCHÉ";1902;"";"1851, Nantes (Loire-Atlantique, France) - 1916, Paris (France)";"Dessin";"Aquarelle et gouache sur papier vergé bleu";47;63;1940;"Legs";"Legs de M Lebrun en 1940";"2466";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003481"
"Paysage";"Jules Hippolyte DELAROCHE";1852;"";"1795, Paris (France) - 1849, Versailles (Yvelines, France)";"Peinture";"Entrée d'un bois. Figures et animauxHuile sur bois";17;24;1852;"Don";"Don de M Clarke de Feltre en 1852";"906";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004129"
"Villa Borghèse - Etude de pins parasol";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"2 dessins: face avec paysage, revers avec étude de personnages drapés (copies de statues antiques)Mine de plomb cernée plume - papier blanc mince";7.3;13.4;NA;"Mode d'acquisition non renseigné";"Acquisition";"4475";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007559"
"Etude de César avec tous les nautoniers dans la barque";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier calque";21.7;30.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"4411";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065257"
"Environs d'Elven (Morbihan)";"Eugène TANGUY";1898;"";"1830, Vannes (Morbihan, France) - 1899, France";"Peinture";"Un ruisseau dans une prairie plantée de quelques arbres.Huile sur toile";165;241.3;1900;"Don";"Don M Jean Tanguy en 1900";"1188";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004298"
"Baptême de Clovis";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";7.5;5.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4027";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064858"
"Metropolitan Tower, New York";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";34.2;23;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3738(1)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082629"
"Etude de nu pour la pose de Notre Seigneur montrant son coeur";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";31.1;10.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"5225";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068438"
"East River, New York";"Henry Wilfrid DEVILLE";1913;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier vergé";23.6;31.4;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3734(3)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082625"
"Amour assis sur un lion";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";20.7;25.8;1986;"Achat";"Achat à Mme Méon en 1986";"986.4.6.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005523"
"Athalie";"Xavier Alexandre François SIGALON";1827;"Musée d'Arts - Palais - Salle 12";"1787, Uzès (Gard, France) - 1837, Rome (Italie)";"Peinture";"Huile sur toile";428;600;NA;"Dépôt Etat";"AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1833";"";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004289"
"Le lac d'Annecy";"Lazare BRUANDET";NA;"";"1755, Paris (France) - 1803, Paris (France)";"Peinture";"paysageHuile sur toile";38;47;1908;"Don";"Don de M David en 1908";"607";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006372"
"Etude du nautonier qui hisse la voile";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";19.9;12.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"4394";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065240"
"Le pavillon des architectes à l'exposition";"Henry Wilfrid DEVILLE";1925;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";25.1;36;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3714";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142443"
"Rue des Thermes à Pompéï";"Jules Elie DELAUNAY";1857;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb - papier à dessin rosâtre";24;35;NA;"Mode d'acquisition non renseigné";"Acquisition";"1454";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007588"
"Homme agenouillé tourné vers la gauche. Au-dessus, l'indication d'un homme assis";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"mine de plomb";18;26;NA;"Mode d'acquisition non renseigné";"Acquisition";"1333";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006998"
"Le dernier retour";"Hippolyte Dominique BERTEAUX";1906;"";"1843, Saint-Quentin (Aisne, France) - 1928, Paris (France)";"Peinture";"Huile sur toile";251.5;382.5;NA;"Dépôt Fonds national d'art contemporain";"Achat en 1906Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes en 1927";"1872";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005338"
"Abraham : étude de nu pour l'attitude du lavement des pieds";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";26;25.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"4275";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007102"
"Embarcadère du Pont-Royal";"Charles Jean OGIER";1898;"";"1856, Nantes (Loire-Atlantique, France) - 1898, ?";"Dessin";"Aquarelle";48;60;1898;"Achat";"Achat M Mestayer en 1898";"1596";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002927"
"Municipal building portico in shadow, New York";"Henry Wilfrid DEVILLE";NA;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier vergé";32.9;23.1;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3749(2)";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082641"
"Saint Louis";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Huile sur papier pelure";19.7;14;NA;"Mode d'acquisition non renseigné";"Acquisition";"4036";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064960"
"Le Roi Louis-Philippe";"James PRADIER (Jean-Jacques PRADIER, dit)";NA;"";"1792?, Genève (Suisse) - 1852, Bougival (Yvelines, France)";"Sculpture";"Bronze";87;40;NA;"Mode d'acquisition non renseigné";"Acquisition proviendrait des réseves";"14.8.20.S";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000108378"
"La mort d'Achille";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";9.4;15.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4021";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064852"
"Homme en tenue militaire";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume, papier Vergé gris";10.1;5.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"4091";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065017"
"La façade de Notre-Dame, Paris";"Henry Wilfrid DEVILLE";1928;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier japonais";41.3;26.3;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3781";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142459"
"La Sainte Famille - Jésus caressant sa mère";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier";30.6;20;NA;"Mode d'acquisition non renseigné";"Acquisition";"4003";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064831"
"Choc de cavalerie au pied d'une forteresse";"Hendrick VERSCHURING";1675;"";"1627, Gorinchem (Pays-Bas) - 1690, Dordrecht (Pays-Bas)";"Peinture";"Huile sur bois";47.2;70.2;1872;"Mode d'acquisition non renseigné";"acquis en 1852 à Nantes de M Curty";"559";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006228"
"Italienne en costume national, sur la tête";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb - papier à dessin gris";23;15.1;NA;"Mode d'acquisition non renseigné";"Acquisition";"4573";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007660"
"Amour esquissant un pas de danse, bras gauche levé";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";22;14.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4935";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067401"
"Le pont des Célestins, Paris";"Henry Wilfrid DEVILLE";1930;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";20.1;32.1;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3622";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142975"
"Etudes d'une femme agenouillée et l'autre buste redressé";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier";10.5;16.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4189";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065108"
"Le pape Formose et Etienne VII";"Jean-Paul LAURENS";1870;"";"1838, Fourquevaux (Haute-Garonne, France) - 1921, Paris (France)";"Peinture";"Huile sur toile";100.3;150.3;1873;"Achat en salon";"Achat en salon en 1873";"1052";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004217"
"Eurydice quittant les enfers";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";28.5;13.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"5634";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069523"
"Partie haute d'un palais";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb";11;8;NA;"Mode d'acquisition non renseigné";"Acquisition";"1360";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000063980"
"Nantes,  86 quai de la Fosse";"Henry Wilfrid DEVILLE";1938;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte, tirage sur papier";30.1;25.2;1955;"Legs";"Legs de M Deville en 1955";"6477";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005729"
"La cathédrale, Metz";"Henry Wilfrid DEVILLE";1929;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, Matrice cuivreEau-forte";22.1;27.2;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3607";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142960"
"Femme vue de face, jambe gauche en avant, le bras droit tient un objet";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier";49.3;32.5;NA;"Mode d'acquisition non renseigné";"Acquisition";"6047";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007871"
"Fluctuat nec mergitur, motifs ornementaux";"Luc-Olivier MERSON";NA;"";"1846, Paris (France) - 1920, Paris (France)";"Dessin";"Crayon sur papier calque";17.5;17.5;1983;"Achat";"Achat à M Philippe Merson en 1983";"983.21.89.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003945"
"Surprise";"Emile GAUCHER";1906;"";"1860, Blois (Loir-et-Cher, France) - 1909, Challans (Vendée, France)";"Sculpture";"Plâtre teinté";64;NA;1907;"Mode d'acquisition non renseigné";"Acquisition en 1907";"1796";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001868"
"Etude des deux personnages";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Mine de plomb sur papier calque";10.3;17.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"4656";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065391"
"Leur dimanche, Hollande";"Henri PERNOT";1909;"Musée d'Arts - Palais - Salle 23";"1859, Gand (Belgique) - 1937, ?";"Sculpture";"StatuetteMarbre";55;62;NA;"Dépôt Fonds national d'art contemporain";"Achat à l'artiste en 1913Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes le 19/02/1913";"4176 [n° inv. déposant ou prêteur]";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003023"
"Quéniquen, le soir";"Henry Wilfrid DEVILLE";1914;"";"1871, Nantes (Loire-Atlantique, France) - 1939, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte sur papier";26.8;35;1949;"Legs";"Legs DEVILLE, Mme veuve en 1949";"3644";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000081988"
"Mouvements de lutte";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Fusain sur papier calque";19;15.3;NA;"Mode d'acquisition non renseigné";"Acquisition";"5027";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067492"
"Portrait de Pierre Waldeck-Rousseau";"Louis Henri SAINTIN";NA;"";"1846, Paris (France) - 1899, Paris (France)";"Peinture";"Huile sur bois";46.3;31.2;NA;"Mode d'acquisition non renseigné";"Acquisition";"non inv.";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000109033"
"Apparition du Christ à Sainte Marguerite Marie Alacoque, Visitandine";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Plume sur papier calque";14;11;NA;"Mode d'acquisition non renseigné";"Acquisition";"5232";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068445"
"Ex libris Docteur Paul Thoby";"René PINARD";NA;"";"1883, Nantes (Loire-Atlantique, France) - 1938, Paris (France)";"Estampe";"Estampe, EpreuveEau-forte sur papier vergé";15.8;10.6;NA;"Mode d'acquisition non renseigné";"Acquisition";"à inventorier";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000149824"
"";"Elise VORUZ";1909;"";"1844, Lausanne (Suisse) - 1909, Barbizon (Seine-et-Marne, France)";"Dessin";"17 Cartes et cartes de voeux collées sur papier finPointe sèche";70.5;53;1954;"Don";"Don Mme Hullemand, Paris en 1954";"954.10.4.D";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003559"
"Le bûcheron seul, tend ses bras à gauche vers Mercure";"Jules Elie DELAUNAY";NA;"";"1828, Nantes (Loire-Atlantique, France) - 1891, Paris (France)";"Dessin";"Crayon et fusain sur papier calque";11.7;10.7;NA;"Mode d'acquisition non renseigné";"Acquisition";"5011";"https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067476"
